"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5","2","10uF","","","","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~"
"C2,C3,C4,C6","4","100nF","","","","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~"
"D1","1","SMAJ5.0CA","","","","PCM_Diode_SMD_AKL:D_SMA_TVS","https://www.tme.eu/Document/dbc72d81c249fe51b6ab42300e8e06d0/SMAJ_ser.pdf"
"D2","1","SMF3.3CA","","","","PCM_Diode_SMD_AKL:D_SOD-123F","https://www.jlc-smt.com/lcsc/detail?componentCode=C22449587"
"J1,J2,J4,J6,J7,J8","6","PINHD_1x5_Male","DNP (不作装配)","","不在 PCB 中进行绘制","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"J3,J5","2","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J9","1","Conn_02x05_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"LED1","1","red","","","","PCM_LED_SMD_AKL:LED_1206_3216Metric","~"
"R1,R2,R3,R4","4","10K","","","","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~"
"U1","1","ADXL345","","","","Package_LGA:LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y","https://www.analog.com/cn/products/adxl345.html"
"U2","1","LDI1117-3.3U","","","","PCM_Package_TO_SOT_SMD_AKL:SOT-89-3","https://www.tme.eu/Document/084a5eb18462203f10c4803bc35208f3/ldi1117h.pdf"
